City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
636,Miraflores,MX,19.2167,-98.8083,66.87,49,77,5.35,broken clouds
637,Preobrazheniye,RU,42.9019,133.9064,47.66,97,100,2.91,overcast clouds
638,Lira,UG,2.235,32.9097,73.35,71,66,4.0,broken clouds
639,Prieska,ZA,-29.6641,22.7474,57.81,36,28,9.78,scattered clouds
640,Tocopilla,CL,-22.092,-70.1979,70.34,64,18,7.85,few clouds
641,Half Moon Bay,US,37.4636,-122.4286,59.58,85,75,14.97,broken clouds
642,Dali,CN,25.7,100.1833,66.29,74,46,5.99,scattered clouds
643,Bagotville,AU,-28.9833,153.4167,58.82,80,78,11.86,broken clouds
644,Tadine,NC,-21.55,167.8833,69.46,65,53,16.84,broken clouds
645,Turinskaya Sloboda,RU,57.6232,64.3858,69.01,56,14,7.85,few clouds
646,Narathiwat,TH,6.3333,101.75,82.18,92,93,3.65,overcast clouds
647,Ulaangom,MN,49.9811,92.0667,51.67,37,88,15.55,overcast clouds
648,Auki,SB,-8.7676,160.7034,75.94,91,100,1.3,heavy intensity rain
649,Maryville,US,35.7565,-83.9705,64.45,92,90,1.99,light rain
650,Mayumba,GA,-3.432,10.6554,79.45,82,39,7.47,light rain
651,Kumluca,TR,36.3703,30.2869,75.51,57,0,1.48,clear sky
652,La Rioja,ES,42.25,-2.5,76.78,72,78,6.35,light rain
653,Bojnurd,IR,37.4747,57.329,89.55,14,20,4.61,few clouds
654,Srandakan,ID,-7.9386,110.2506,59.74,88,100,3.13,overcast clouds
655,Hvide Sande,DK,56.0045,8.1294,70.38,83,17,8.99,few clouds
656,Carutapera,BR,-1.195,-46.02,86.23,64,99,8.61,overcast clouds
657,Chapais,CA,49.7834,-74.8492,46.18,31,3,5.41,clear sky
658,Price,US,39.5994,-110.8107,72.66,20,1,8.05,clear sky
